"V1" "regions.vectors" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9"
"1" "Anaire_nigrosta_F391921" "001000000" 0 0 0.0264707248108321 0 0 0 0 0 0
"2" "Anaire_ferna_CM120730" "000001000" 0 0 0 0 0 5.04229685463168e-05 0 0 0
"3" "Anaire_parlus_A12192" "001001100" 0 0.00189790550886957 0.296538744829733 0 0 0.968223598282204 0.0706771375286652 0 0.00108499737218253
"4" "Anaire_flaviro_CU52375" "001001100" 0 0.00115277598894708 0.351597652451361 0 0 0.279678988857484 0.0723364158787233 0 0
"5" "Anaire_alpin_NM34088" "001000000" 0 0 0.0127374261155016 0 0 0 0 0 0
"6" "Capsie_flaveo_GCPEII12" "011000111" 0 0.411156308523128 0.0973982737598327 0 0 0 0.214756504182674 0.850790627346322 0.185193635799451
"7" "Phaeo_murina_LSUMZ456" "011000111" 0 0.876793724788159 0.222433671188726 0 0 0.000235540822950759 0.644457978293821 0.456255799519423 0.0899525831019903
"8" "Phaeo_murina_LSUMZ33372" "011000111" 0 0.876793724788159 0.222433671188726 0 0 0.000235540822950759 0.644457978293821 0.456255799519423 0.0899525831019903
"9" "Phaeo_murina_LSUMZ180" "011000111" 0 0.876793724788159 0.222433671188726 0 0 0.000235540822950759 0.644457978293821 0.456255799519423 0.0899525831019903
"10" "Nesotr_ridway_F299961" "000000001" 0 0 0 0 0 0 0 0 1.28704647233833e-05
"11" "Phaeo_murina_L48589" "011000111" 0 0.876793724788159 0.222433671188726 0 0 0.000235540822950759 0.644457978293821 0.456255799519423 0.0899525831019903
"12" "Phaeo_murina_LSUMZ48557" "011000111" 0 0.876793724788159 0.222433671188726 0 0 0.000235540822950759 0.644457978293821 0.456255799519423 0.0899525831019903
"13" "Phaeo_murina_L90440" "011000111" 0 0.876793724788159 0.222433671188726 0 0 0.000235540822950759 0.644457978293821 0.456255799519423 0.0899525831019903
"14" "Phymyi_gricep_SB14160" "011000001" 0 0.0610644670556944 0.0829204138293234 0 0 0 0 0 0.0523850504530993
"15" "Phymyi_fastus_SP93548" "010000110" 0 0.0213653698764387 0 0 0 0 0.448168423407717 0.951960220994112 0
"16" "Phymyi_weeden_L58430" "011000000" 0 1.94161225930105e-05 0.00754289073011513 0 0 0 0 0 0
"17" "Myiotri_orntus_H4556" "011000001" 0 0.00270014068175181 0.10949649809191 0 0 0 0 0 0.0120894687406356
"18" "Myiotri_orntus_L43994" "011000001" 0 0.00270014068175181 0.10949649809191 0 0 0 0 0 0.0120894687406356
"19" "Nephel_linton_L33971" "001000000" 0 0 0.00636001176462379 0 0 0 0 0 0
"20" "Nephel_ochven_L8296" "011000000" 0 0.000784697592095955 0.0473641129334336 0 0 0 0 0 0
